Source,Gmag,BPmag,RPmag,Dist,Teff,Rad,Lum-Flame,Mass-Flame,Age-Flame
184348178259950080,14.191503,15.421110999999998,13.105918,1772.8529999999998,6669.4097,7.2202,108.064896,2.849,0.414
85253485917910016,12.030905,12.574979,11.328289,325.7805,6154.2725,1.5659,3.0242286,1.224,3.907
1872211329932209152,14.350424,14.680531,13.722337,1501.2627,6828.41,1.8887,6.762685,1.503,1.641
2199225707439172864,15.194892,17.800701,13.770748,7749.61,3697.7566,115.6456,2224.1794,1.922,1.34
2161070794221636736,9.934341,10.026459,9.736514,473.8533,7812.651,2.4308,57.85077,2.38,0.662
275896299532334848,17.524782000000002,18.03099,16.830473,3796.4163,10187.835,1.1388,12.870783,,
178442460787922560,14.409889000000002,15.440296,13.410857,2051.159,5312.081999999999,7.1353,54.99725,2.603,0.556
93070777368935424,13.529093,13.936426999999998,12.951381,627.0394,6217.3057,1.2168,2.0151455,1.16,2.657
5368575976676224,13.822126,14.354592000000002,13.141032,311.2957,4763.993,0.7563,0.26589343,0.748,13.362
3118059571576117504,11.619813,11.759947,11.367423,713.7822,8119.035,1.8029,11.767187,1.796,0.3979999999999999
215256893224816512,14.597056,14.998907,13.985367000000002,927.0222,5687.51,1.242,0.8777466,0.927,8.822000000000001
1852410529954674944,11.81509,11.932568,11.596125,913.8939,8175.6685,2.0014,13.700063,1.82,0.662
142934557402504448,14.619262,14.932235999999998,14.139257999999998,2829.491,5892.598000000001,2.9329,3.4546382000000007,1.147,6.25
5978628221607197952,15.386034,16.928268,14.132865,3217.1255,15005.252,7.4397,2567.1716,6.202000000000001,
8848251105051648,13.714197,14.411053,12.907035,213.6862,4601.5864,0.6943,0.20188898,0.727,10.166
74085750610153984,13.426556,13.737654999999998,12.948099,789.7546,6073.592,1.3908,2.4583342,1.164,4.586
1566995114021749888,11.858844,11.978725,11.646867,807.8837,7640.5283,1.7182,7.6349177,1.608,0.618
1231141144059536256,15.526878,16.6818,14.438282,170.7859,3707.713,0.4726,0.039950293,0.508,10.599
3143251513270377984,11.257393,12.517573,10.14536,2097.6143,3695.1753,48.1787,607.1162,1.971,1.246
112871229438541952,13.141453,13.590505,12.521788,533.0053,5760.3286,1.3956,1.9050031000000005,1.001,10.169
195403046124523648,14.147286,14.523122,13.59234,870.4651,6144.8228,1.233,2.0144305,1.143,3.431
187179455062554752,11.520134,11.618561,11.338001,913.9275,9900.431,2.0081,24.043856,2.193,
458371799039531520,10.702952,10.879816,10.376451,2449.8643,16319.901000000002,7.2633,3338.2466,6.735,
4035537286908570624,14.299744,15.409102,13.258475,3415.188,4732.1406,15.5924,120.44723,2.805,0.4539999999999999
157223432560381952,13.982635,14.831292,13.074442,3891.3713,5140.8877,13.3188,40.474705,2.6,0.5579999999999999
1995418685921986048,11.694118,11.884146,11.36588,655.7756,7924.6943,1.794,13.399925,1.795,0.828
443970430090037888,14.488785,15.034228,13.769507999999998,4083.8604,10553.187,5.0996,141.0461,3.0780000000000003,0.28
528067813891493376,9.748412,9.94276,9.392766,716.4836,11878.625,4.0497,199.97476,3.419,
1825712570909212800,15.381129,15.986959,14.417903,1747.2416,11485.053,1.8423,48.866783,2.67,
272678028993944960,14.550028,15.667089,13.499045,146.8988,3775.8557,0.5933,0.065548904,0.575,13.135
123182449484731264,14.218614,14.63643,13.62269,599.0064,5863.8647,0.9075,1.0159281,1.0590000000000002,1.005
8394638134685824,10.773162,11.302886,10.084754,520.0486,5672.2715,4.5768,14.382848,1.848,1.466
102454147039234176,12.3109,12.645873,11.806716,367.2876,6013.8013,1.1232,1.5063927,1.08,3.904
140073525067925632,14.815947,15.347937,14.130973999999998,2823.9153,4978.5273,4.2391,10.337438,1.52,2.653
2232727242611767040,12.609131,12.913366,12.141363,880.3617,7446.2974,1.9532,11.522902,1.713,1.105
239745284919413504,12.935725,13.291643,12.410924,433.8576,5697.888000000001,1.0813,1.1327598,0.954,9.566
