REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,POP
2001,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823071,14.3.2,424.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823205,14.3.3,573.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823339,14.3.4,601.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823741,14.2.3,506.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823875,14.2.4,551.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3824009,14.1.1,329.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824143,14.1.2,424.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824277,14.1.3,574.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824411,14.1.4,605.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824785,14.4.2,437.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824973,14.4.3,586.0,,,,0,45442.0
2001,"Truro, Nova Scotia",2011S0504215,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825161,14.4.4,639.0,,,,0,45442.0
2001,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822891,15.3.1,284.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823025,15.3.2,356.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823159,15.3.3,439.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823293,15.3.4,459.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823695,15.2.3,403.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823963,15.1.1,284.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824097,15.1.2,356.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824231,15.1.3,441.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824365,15.1.4,457.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824542,15.4.1,283.0,,,,0,34364.0
2001,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824730,15.4.2,362.0,,,,0,34364.0
