"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1322","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1362","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1613","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1640","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1066","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1080","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1097","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1097","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1146","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1115","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1172","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1316","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1290","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1463","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","1749","","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","2076","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","2199","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","2423","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823792","169.2.4","2199","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","587","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","586","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","592","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","606","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","613","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","631","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","710","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","859","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","890","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","968","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","1038","","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","1020","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","1106","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823926","169.1.1","1140","","","","0"
